Step: 10000291 | Episode 1 | Return: 6.00 | Elapsed: 0.02 min
Step: 10021950 | Episode 79 | Return: 5.00 | Elapsed: 1.20 min
Step: 10022261 | Episode 80 | Return: 3.00 | Elapsed: 1.21 min
Step: 10022406 | Episode 81 | Return: 7.00 | Elapsed: 1.22 min
Step: 10022705 | Episode 82 | Return: 10.00 | Elapsed: 1.23 min
Step: 10022908 | Episode 83 | Return: 3.00 | Elapsed: 1.24 min
Step: 10023201 | Episode 84 | Return: 5.00 | Elapsed: 1.26 min
Step: 10023372 | Episode 85 | Return: 2.00 | Elapsed: 1.27 min
Step: 10023712 | Episode 86 | Return: 3.00 | Elapsed: 1.28 min
Step: 10023901 | Episode 87 | Return: 1.00 | Elapsed: 1.29 min
Step: 10024252 | Episode 88 | Return: 4.00 | Elapsed: 1.31 min
Step: 10024541 | Episode 89 | Return: 5.00 | Elapsed: 1.33 min
Step: 10024877 | Episode 90 | Return: 0.00 | Elapsed: 1.34 min
Step: 10025120 | Episode 91 | Return: 5.00 | Elapsed: 1.35 min
Step: 10025550 | Episode 92 | Return: 2.00 | Elapsed: 1.38 min
Step: 10025866 | Episode 93 | Return: 0.00 | Elapsed: 1.39 min
Step: 10026170 | Episode 94 | Return: 3.00 | Elapsed: 1.41 min
Step: 10026439 | Episode 95 | Return: 5.00 | Elapsed: 1.42 min
Step: 10026761 | Episode 96 | Return: 4.00 | Elapsed: 1.44 min
Step: 10026990 | Episode 97 | Return: 5.00 | Elapsed: 1.46 min
Step: 10027380 | Episode 98 | Return: 6.00 | Elapsed: 1.48 min
Step: 10027756 | Episode 99 | Return: 4.00 | Elapsed: 1.51 min
Step: 10027891 | Episode 100 | Return: 4.00 | Elapsed: 1.51 min
Step: 10028111 | Episode 101 | Return: 1.00 | Elapsed: 1.53 min
Step: 10028454 | Episode 102 | Return: 0.00 | Elapsed: 1.55 min
Step: 10028573 | Episode 103 | Return: 0.00 | Elapsed: 1.55 min
Step: 10028789 | Episode 104 | Return: 0.00 | Elapsed: 1.56 min
Step: 10029105 | Episode 105 | Return: 3.00 | Elapsed: 1.58 min
Step: 10029376 | Episode 106 | Return: 1.00 | Elapsed: 1.60 min
Step: 10029636 | Episode 107 | Return: 3.00 | Elapsed: 1.61 min
Step: 10029849 | Episode 108 | Return: 5.00 | Elapsed: 1.62 min
Step: 10030107 | Episode 109 | Return: 0.00 | Elapsed: 1.64 min
Step: 10030428 | Episode 110 | Return: 0.00 | Elapsed: 1.65 min
Step: 10030714 | Episode 111 | Return: 0.00 | Elapsed: 1.67 min
Step: 10031003 | Episode 112 | Return: 4.00 | Elapsed: 1.68 min
Step: 10031390 | Episode 113 | Return: 1.00 | Elapsed: 1.70 min
Step: 10031682 | Episode 114 | Return: 7.00 | Elapsed: 1.72 min
Step: 10031958 | Episode 115 | Return: 4.00 | Elapsed: 1.74 min
Step: 10032188 | Episode 116 | Return: 6.00 | Elapsed: 1.75 min
Step: 10032489 | Episode 117 | Return: 4.00 | Elapsed: 1.76 min
Step: 10032757 | Episode 118 | Return: 0.00 | Elapsed: 1.78 min
Step: 10033026 | Episode 119 | Return: 7.00 | Elapsed: 1.79 min
Step: 10033328 | Episode 120 | Return: 7.00 | Elapsed: 1.81 min
Step: 10033602 | Episode 121 | Return: 2.00 | Elapsed: 1.82 min
Step: 10033860 | Episode 122 | Return: 4.00 | Elapsed: 1.84 min
Step: 10034152 | Episode 123 | Return: 0.00 | Elapsed: 1.85 min
Step: 10034234 | Episode 124 | Return: 4.00 | Elapsed: 1.86 min
Step: 10034599 | Episode 125 | Return: 4.00 | Elapsed: 1.88 min
Step: 10034827 | Episode 126 | Return: 1.00 | Elapsed: 1.89 min
Step: 10035019 | Episode 127 | Return: 2.00 | Elapsed: 1.90 min
Step: 10035251 | Episode 128 | Return: 16.00 | Elapsed: 1.91 min
Step: 10035635 | Episode 129 | Return: 2.00 | Elapsed: 1.93 min
Step: 10035798 | Episode 130 | Return: 5.00 | Elapsed: 1.94 min
Step: 10036119 | Episode 131 | Return: 4.00 | Elapsed: 1.96 min
Step: 10036345 | Episode 132 | Return: 0.00 | Elapsed: 1.97 min
Step: 10036533 | Episode 133 | Return: 4.00 | Elapsed: 1.98 min
Step: 10036848 | Episode 134 | Return: 0.00 | Elapsed: 2.00 min
Step: 10037087 | Episode 135 | Return: 0.00 | Elapsed: 2.01 min
Step: 10037321 | Episode 136 | Return: 3.00 | Elapsed: 2.02 min
Step: 10037549 | Episode 137 | Return: 2.00 | Elapsed: 2.04 min
Step: 10037930 | Episode 138 | Return: 1.00 | Elapsed: 2.06 min
Step: 10038162 | Episode 139 | Return: 5.00 | Elapsed: 2.07 min
Step: 10038432 | Episode 140 | Return: 0.00 | Elapsed: 2.09 min
Step: 10038707 | Episode 141 | Return: 6.00 | Elapsed: 2.10 min
Step: 10038861 | Episode 142 | Return: 4.00 | Elapsed: 2.11 min
Step: 10039145 | Episode 143 | Return: 4.00 | Elapsed: 2.12 min
Step: 10039475 | Episode 144 | Return: 13.00 | Elapsed: 2.14 min
Step: 10039831 | Episode 145 | Return: 4.00 | Elapsed: 2.16 min
Step: 10040138 | Episode 146 | Return: 2.00 | Elapsed: 2.18 min
Step: 10040316 | Episode 147 | Return: 8.00 | Elapsed: 2.19 min
Step: 10040619 | Episode 148 | Return: 4.00 | Elapsed: 2.20 min
Step: 10040905 | Episode 149 | Return: 2.00 | Elapsed: 2.22 min
Step: 10041112 | Episode 150 | Return: 0.00 | Elapsed: 2.23 min
Step: 10041306 | Episode 151 | Return: 2.00 | Elapsed: 2.24 min
Step: 10041613 | Episode 152 | Return: 0.00 | Elapsed: 2.26 min
Step: 10041952 | Episode 153 | Return: 2.00 | Elapsed: 2.28 min
Step: 10042133 | Episode 154 | Return: 0.00 | Elapsed: 2.29 min
Step: 10042418 | Episode 155 | Return: 6.00 | Elapsed: 2.30 min
Step: 10042739 | Episode 156 | Return: 4.00 | Elapsed: 2.32 min
Step: 10042909 | Episode 157 | Return: 3.00 | Elapsed: 2.33 min
Step: 10043240 | Episode 158 | Return: 5.00 | Elapsed: 2.34 min
Step: 10043506 | Episode 159 | Return: 2.00 | Elapsed: 2.36 min
Step: 10043724 | Episode 160 | Return: 6.00 | Elapsed: 2.37 min
Step: 10043949 | Episode 161 | Return: 6.00 | Elapsed: 2.38 min
Step: 10044207 | Episode 162 | Return: 3.00 | Elapsed: 2.40 min
Step: 10044473 | Episode 163 | Return: 0.00 | Elapsed: 2.41 min
Step: 10044840 | Episode 164 | Return: 2.00 | Elapsed: 2.43 min
Step: 10045128 | Episode 165 | Return: 6.00 | Elapsed: 2.45 min
Step: 10045441 | Episode 166 | Return: 5.00 | Elapsed: 2.46 min
Step: 10045758 | Episode 167 | Return: 2.00 | Elapsed: 2.48 min
Step: 10046136 | Episode 168 | Return: 6.00 | Elapsed: 2.50 min
Step: 10046468 | Episode 169 | Return: 3.00 | Elapsed: 2.52 min
Step: 10046685 | Episode 170 | Return: 5.00 | Elapsed: 2.53 min
Step: 10047095 | Episode 171 | Return: 6.00 | Elapsed: 2.55 min
Step: 10047347 | Episode 172 | Return: 3.00 | Elapsed: 2.57 min
Step: 10047739 | Episode 173 | Return: 2.00 | Elapsed: 2.59 min
Step: 10047941 | Episode 174 | Return: 0.00 | Elapsed: 2.60 min
Step: 10048160 | Episode 175 | Return: 0.00 | Elapsed: 2.61 min
Step: 10048372 | Episode 176 | Return: 7.00 | Elapsed: 2.62 min
Step: 10048620 | Episode 177 | Return: 0.00 | Elapsed: 2.64 min
Step: 10048805 | Episode 178 | Return: 13.00 | Elapsed: 2.65 min
Step: 10049008 | Episode 179 | Return: 3.00 | Elapsed: 2.66 min
Step: 10049272 | Episode 180 | Return: 14.00 | Elapsed: 2.67 min
Step: 10049434 | Episode 181 | Return: 5.00 | Elapsed: 2.68 min
Step: 10049690 | Episode 182 | Return: 4.00 | Elapsed: 2.69 min
Step: 10050017 | Episode 183 | Return: 3.00 | Elapsed: 2.71 min
Step: 10050339 | Episode 184 | Return: 6.00 | Elapsed: 2.75 min
Step: 10050545 | Episode 185 | Return: 0.00 | Elapsed: 2.78 min
Step: 10050801 | Episode 186 | Return: 5.00 | Elapsed: 2.82 min
Step: 10051162 | Episode 187 | Return: 3.00 | Elapsed: 2.86 min
Step: 10051310 | Episode 188 | Return: 1.00 | Elapsed: 2.88 min
Step: 10051530 | Episode 189 | Return: 0.00 | Elapsed: 2.91 min
Step: 10051781 | Episode 190 | Return: 5.00 | Elapsed: 2.95 min
Step: 10052136 | Episode 191 | Return: 7.00 | Elapsed: 2.99 min
Step: 10052420 | Episode 192 | Return: 4.00 | Elapsed: 3.03 min
Step: 10052576 | Episode 193 | Return: 0.00 | Elapsed: 3.05 min
Step: 10052812 | Episode 194 | Return: 6.00 | Elapsed: 3.08 min
Step: 10053080 | Episode 195 | Return: 4.00 | Elapsed: 3.12 min
Step: 10053310 | Episode 196 | Return: 0.00 | Elapsed: 3.15 min
Step: 10053537 | Episode 197 | Return: 4.00 | Elapsed: 3.18 min
Step: 10053865 | Episode 198 | Return: 4.00 | Elapsed: 3.22 min
Step: 10054027 | Episode 199 | Return: 3.00 | Elapsed: 3.25 min
Step: 10054334 | Episode 200 | Return: 1.00 | Elapsed: 3.29 min
Step: 10054655 | Episode 201 | Return: 1.00 | Elapsed: 3.33 min
Step: 10054824 | Episode 202 | Return: 4.00 | Elapsed: 3.35 min
Step: 10055186 | Episode 203 | Return: 3.00 | Elapsed: 3.40 min
Step: 10055373 | Episode 204 | Return: 1.00 | Elapsed: 3.43 min
Step: 10055529 | Episode 205 | Return: 0.00 | Elapsed: 3.45 min
Step: 10055829 | Episode 206 | Return: 0.00 | Elapsed: 3.49 min
Step: 10056154 | Episode 207 | Return: 10.00 | Elapsed: 3.53 min
Step: 10056501 | Episode 208 | Return: 2.00 | Elapsed: 3.58 min
Step: 10056735 | Episode 209 | Return: 3.00 | Elapsed: 3.61 min
Step: 10056977 | Episode 210 | Return: 3.00 | Elapsed: 3.64 min
Step: 10057228 | Episode 211 | Return: 1.00 | Elapsed: 3.67 min
Step: 10057496 | Episode 212 | Return: 3.00 | Elapsed: 3.71 min
Step: 10057578 | Episode 213 | Return: 4.00 | Elapsed: 3.72 min
Step: 10057690 | Episode 214 | Return: 0.00 | Elapsed: 3.74 min
Step: 10057835 | Episode 215 | Return: 0.00 | Elapsed: 3.76 min
Step: 10058119 | Episode 216 | Return: 10.00 | Elapsed: 3.80 min
Step: 10058413 | Episode 217 | Return: 0.00 | Elapsed: 3.83 min
Step: 10058645 | Episode 218 | Return: 0.00 | Elapsed: 3.87 min
Step: 10058870 | Episode 219 | Return: 3.00 | Elapsed: 3.90 min
Step: 10059035 | Episode 220 | Return: 4.00 | Elapsed: 3.92 min
Step: 10059299 | Episode 221 | Return: 2.00 | Elapsed: 3.96 min
Step: 10059539 | Episode 222 | Return: 4.00 | Elapsed: 3.99 min
Step: 10059784 | Episode 223 | Return: 0.00 | Elapsed: 4.02 min
Step: 10060004 | Episode 224 | Return: 2.00 | Elapsed: 4.05 min
Step: 10060372 | Episode 225 | Return: 3.00 | Elapsed: 4.10 min
Step: 10060759 | Episode 226 | Return: 2.00 | Elapsed: 4.15 min
Step: 10061066 | Episode 227 | Return: 3.00 | Elapsed: 4.19 min
Step: 10061346 | Episode 228 | Return: 19.00 | Elapsed: 4.22 min
Step: 10061587 | Episode 229 | Return: 3.00 | Elapsed: 4.26 min
Step: 10061739 | Episode 230 | Return: 7.00 | Elapsed: 4.28 min
Step: 10061991 | Episode 231 | Return: 0.00 | Elapsed: 4.31 min
Step: 10062284 | Episode 232 | Return: 5.00 | Elapsed: 4.35 min
Step: 10062631 | Episode 233 | Return: 2.00 | Elapsed: 4.40 min
Step: 10062941 | Episode 234 | Return: 0.00 | Elapsed: 4.44 min
Step: 10063211 | Episode 235 | Return: 6.00 | Elapsed: 4.47 min
Step: 10063480 | Episode 236 | Return: 4.00 | Elapsed: 4.51 min
Step: 10063687 | Episode 237 | Return: 4.00 | Elapsed: 4.54 min
Step: 10064019 | Episode 238 | Return: 7.00 | Elapsed: 4.58 min
Step: 10064273 | Episode 239 | Return: 0.00 | Elapsed: 4.61 min
Step: 10064492 | Episode 240 | Return: 0.00 | Elapsed: 4.64 min
Step: 10064631 | Episode 241 | Return: 2.00 | Elapsed: 4.66 min
Step: 10064821 | Episode 242 | Return: 0.00 | Elapsed: 4.69 min
Step: 10065124 | Episode 243 | Return: 4.00 | Elapsed: 4.73 min
Step: 10065400 | Episode 244 | Return: 15.00 | Elapsed: 4.77 min
Step: 10065710 | Episode 245 | Return: 0.00 | Elapsed: 4.81 min
Step: 10066042 | Episode 246 | Return: 4.00 | Elapsed: 4.85 min
Step: 10066321 | Episode 247 | Return: 2.00 | Elapsed: 4.89 min
Step: 10066566 | Episode 248 | Return: 0.00 | Elapsed: 4.92 min
Step: 10066903 | Episode 249 | Return: 1.00 | Elapsed: 4.97 min
Step: 10067217 | Episode 250 | Return: 5.00 | Elapsed: 5.01 min
Step: 10067449 | Episode 251 | Return: 1.00 | Elapsed: 5.04 min
Step: 10067594 | Episode 252 | Return: 5.00 | Elapsed: 5.06 min
Step: 10067903 | Episode 253 | Return: 1.00 | Elapsed: 5.10 min
Step: 10068066 | Episode 254 | Return: 0.00 | Elapsed: 5.12 min
Step: 10068352 | Episode 255 | Return: 2.00 | Elapsed: 5.16 min
Step: 10068599 | Episode 256 | Return: 0.00 | Elapsed: 5.19 min
Step: 10068771 | Episode 257 | Return: 1.00 | Elapsed: 5.22 min
Step: 10069100 | Episode 258 | Return: 11.00 | Elapsed: 5.26 min
Step: 10069474 | Episode 259 | Return: 2.00 | Elapsed: 5.31 min
Step: 10069713 | Episode 260 | Return: 3.00 | Elapsed: 5.34 min
Step: 10069899 | Episode 261 | Return: 0.00 | Elapsed: 5.37 min
Step: 10070148 | Episode 262 | Return: 0.00 | Elapsed: 5.40 min
Step: 10070507 | Episode 263 | Return: 10.00 | Elapsed: 5.45 min
Step: 10070824 | Episode 264 | Return: 0.00 | Elapsed: 5.49 min
Step: 10070986 | Episode 265 | Return: 0.00 | Elapsed: 5.51 min
Step: 10071223 | Episode 266 | Return: 2.00 | Elapsed: 5.55 min
Step: 10071499 | Episode 267 | Return: 0.00 | Elapsed: 5.58 min
Step: 10071676 | Episode 268 | Return: 0.00 | Elapsed: 5.61 min
Step: 10071781 | Episode 269 | Return: 0.00 | Elapsed: 5.62 min
Step: 10071951 | Episode 270 | Return: 0.00 | Elapsed: 5.65 min
Step: 10072166 | Episode 271 | Return: 0.00 | Elapsed: 5.68 min
Step: 10072294 | Episode 272 | Return: 0.00 | Elapsed: 5.70 min
Step: 10072473 | Episode 273 | Return: 0.00 | Elapsed: 5.72 min
Step: 10072671 | Episode 274 | Return: 0.00 | Elapsed: 5.75 min
Step: 10072928 | Episode 275 | Return: 5.00 | Elapsed: 5.78 min
Step: 10073193 | Episode 276 | Return: 1.00 | Elapsed: 5.82 min
Step: 10073466 | Episode 277 | Return: 7.00 | Elapsed: 5.85 min
Step: 10073734 | Episode 278 | Return: 7.00 | Elapsed: 5.89 min
Step: 10073925 | Episode 279 | Return: 0.00 | Elapsed: 5.92 min
Step: 10074202 | Episode 280 | Return: 8.00 | Elapsed: 5.96 min
Step: 10074590 | Episode 281 | Return: 4.00 | Elapsed: 6.00 min
Step: 10074900 | Episode 282 | Return: 13.00 | Elapsed: 6.05 min
Step: 10075283 | Episode 283 | Return: 2.00 | Elapsed: 6.10 min
Step: 10075525 | Episode 284 | Return: 5.00 | Elapsed: 6.13 min
Step: 10075775 | Episode 285 | Return: 0.00 | Elapsed: 6.16 min
Step: 10075960 | Episode 286 | Return: 6.00 | Elapsed: 6.19 min
Step: 10076199 | Episode 287 | Return: 4.00 | Elapsed: 6.22 min
Step: 10076443 | Episode 288 | Return: 0.00 | Elapsed: 6.25 min
Step: 10076637 | Episode 289 | Return: 16.00 | Elapsed: 6.28 min
Step: 10076857 | Episode 290 | Return: 5.00 | Elapsed: 6.31 min
Step: 10077159 | Episode 291 | Return: 4.00 | Elapsed: 6.35 min
Step: 10077388 | Episode 292 | Return: 7.00 | Elapsed: 6.38 min
Step: 10077665 | Episode 293 | Return: 1.00 | Elapsed: 6.42 min
Step: 10077876 | Episode 294 | Return: 1.00 | Elapsed: 6.45 min
Step: 10078135 | Episode 295 | Return: 6.00 | Elapsed: 6.48 min
Step: 10078352 | Episode 296 | Return: 0.00 | Elapsed: 6.51 min
Step: 10078627 | Episode 297 | Return: 6.00 | Elapsed: 6.55 min
Step: 10078871 | Episode 298 | Return: 0.00 | Elapsed: 6.58 min
Step: 10079189 | Episode 299 | Return: 13.00 | Elapsed: 6.62 min
Step: 10079390 | Episode 300 | Return: 3.00 | Elapsed: 6.65 min
Step: 10079663 | Episode 301 | Return: 12.00 | Elapsed: 6.69 min
Step: 10079911 | Episode 302 | Return: 5.00 | Elapsed: 6.72 min
Step: 10080140 | Episode 303 | Return: 5.00 | Elapsed: 6.75 min
Step: 10080306 | Episode 304 | Return: 7.00 | Elapsed: 6.77 min
Step: 10080625 | Episode 305 | Return: 6.00 | Elapsed: 6.82 min
Step: 10080824 | Episode 306 | Return: 5.00 | Elapsed: 6.84 min
Step: 10081011 | Episode 307 | Return: 1.00 | Elapsed: 6.87 min
Step: 10081238 | Episode 308 | Return: 6.00 | Elapsed: 6.90 min
Step: 10081505 | Episode 309 | Return: 6.00 | Elapsed: 6.94 min
Step: 10081605 | Episode 310 | Return: 2.00 | Elapsed: 6.95 min
Step: 10081878 | Episode 311 | Return: 7.00 | Elapsed: 6.99 min
Step: 10082058 | Episode 312 | Return: 7.00 | Elapsed: 7.01 min
Step: 10082425 | Episode 313 | Return: 7.00 | Elapsed: 7.06 min
Step: 10082658 | Episode 314 | Return: 5.00 | Elapsed: 7.09 min
Step: 10082975 | Episode 315 | Return: 13.00 | Elapsed: 7.13 min
Step: 10083256 | Episode 316 | Return: 6.00 | Elapsed: 7.17 min
Step: 10083524 | Episode 317 | Return: 0.00 | Elapsed: 7.21 min
Step: 10083897 | Episode 318 | Return: 3.00 | Elapsed: 7.25 min
Step: 10084194 | Episode 319 | Return: 10.00 | Elapsed: 7.29 min
Step: 10084461 | Episode 320 | Return: 5.00 | Elapsed: 7.33 min
Step: 10084728 | Episode 321 | Return: 0.00 | Elapsed: 7.36 min
Step: 10084914 | Episode 322 | Return: 2.00 | Elapsed: 7.39 min
Step: 10085070 | Episode 323 | Return: 5.00 | Elapsed: 7.41 min
Step: 10085271 | Episode 324 | Return: 8.00 | Elapsed: 7.44 min
Step: 10085620 | Episode 325 | Return: 4.00 | Elapsed: 7.48 min
Step: 10085963 | Episode 326 | Return: 3.00 | Elapsed: 7.53 min
Step: 10086159 | Episode 327 | Return: 1.00 | Elapsed: 7.56 min
Step: 10086371 | Episode 328 | Return: 2.00 | Elapsed: 7.58 min
Step: 10086684 | Episode 329 | Return: 1.00 | Elapsed: 7.63 min
Step: 10086907 | Episode 330 | Return: 4.00 | Elapsed: 7.65 min
Step: 10087009 | Episode 331 | Return: 0.00 | Elapsed: 7.67 min
Step: 10087333 | Episode 332 | Return: 2.00 | Elapsed: 7.71 min
Step: 10087562 | Episode 333 | Return: 0.00 | Elapsed: 7.74 min
Step: 10087779 | Episode 334 | Return: 0.00 | Elapsed: 7.77 min
Step: 10088000 | Episode 335 | Return: 0.00 | Elapsed: 7.80 min
Step: 10088276 | Episode 336 | Return: 4.00 | Elapsed: 7.84 min
Step: 10088506 | Episode 337 | Return: 4.00 | Elapsed: 7.87 min
Step: 10088740 | Episode 338 | Return: 2.00 | Elapsed: 7.90 min
Step: 10089033 | Episode 339 | Return: 0.00 | Elapsed: 7.94 min
Step: 10089306 | Episode 340 | Return: 3.00 | Elapsed: 7.98 min
Step: 10089585 | Episode 341 | Return: 0.00 | Elapsed: 8.01 min
Step: 10089730 | Episode 342 | Return: 0.00 | Elapsed: 8.03 min
Step: 10089864 | Episode 343 | Return: 0.00 | Elapsed: 8.05 min
Step: 10090122 | Episode 344 | Return: 0.00 | Elapsed: 8.09 min
Step: 10090271 | Episode 345 | Return: 1.00 | Elapsed: 8.11 min
Step: 10090541 | Episode 346 | Return: 0.00 | Elapsed: 8.14 min
Step: 10090717 | Episode 347 | Return: 0.00 | Elapsed: 8.16 min
Step: 10090863 | Episode 348 | Return: 0.00 | Elapsed: 8.18 min
Step: 10091058 | Episode 349 | Return: 2.00 | Elapsed: 8.21 min
Step: 10091317 | Episode 350 | Return: 5.00 | Elapsed: 8.24 min
Step: 10091514 | Episode 351 | Return: 16.00 | Elapsed: 8.26 min
Step: 10091808 | Episode 352 | Return: 8.00 | Elapsed: 8.30 min
Step: 10091946 | Episode 353 | Return: 5.00 | Elapsed: 8.32 min
Step: 10092161 | Episode 354 | Return: 4.00 | Elapsed: 8.35 min
Step: 10092371 | Episode 355 | Return: 0.00 | Elapsed: 8.37 min
Step: 10092573 | Episode 356 | Return: 2.00 | Elapsed: 8.40 min
Step: 10092846 | Episode 357 | Return: 2.00 | Elapsed: 8.43 min
Step: 10093013 | Episode 358 | Return: 4.00 | Elapsed: 8.45 min
Step: 10093308 | Episode 359 | Return: 4.00 | Elapsed: 8.49 min
Step: 10093541 | Episode 360 | Return: 6.00 | Elapsed: 8.52 min
Step: 10093767 | Episode 361 | Return: 2.00 | Elapsed: 8.55 min
Step: 10093943 | Episode 362 | Return: 0.00 | Elapsed: 8.58 min
Step: 10094222 | Episode 363 | Return: 3.00 | Elapsed: 8.61 min
Step: 10094420 | Episode 364 | Return: 1.00 | Elapsed: 8.63 min
Step: 10094630 | Episode 365 | Return: 0.00 | Elapsed: 8.66 min
Step: 10094912 | Episode 366 | Return: 4.00 | Elapsed: 8.70 min
Step: 10095186 | Episode 367 | Return: 0.00 | Elapsed: 8.73 min
